type,parameters,,,,,
3,14,0,0,225,0,
3,15,0,0,240,0,
3,16,0,0,255,0,
3,17,0,0,0,90,
3,18,0,0,0,105,
3,19,0,0,0,120,
3,20,0,0,0,135,
3,21,0,0,0,150,
3,22,0,0,0,165,
3,23,0,0,0,180,
3,0,0,0,0,195,
3,1,0,0,0,210,
3,2,0,0,0,225,
3,3,0,0,0,240,
3,4,0,0,0,255,
2,7,,,,,
4,,,,,,
3,6,0,0,90,0,
3,7,0,0,105,0,
3,8,0,0,120,0,
3,9,0,0,135,0,
3,10,0,0,150,0,
3,11,0,0,165,0,
3,12,0,0,180,0,
3,13,0,0,195,0,
3,14,0,0,210,0,
3,15,0,0,225,0,
3,16,0,0,240,0,
3,17,0,0,255,0,
3,18,0,0,0,90,
3,19,0,0,0,105,
3,20,0,0,0,120,
3,21,0,0,0,135,
3,22,0,0,0,150,
3,23,0,0,0,165,
3,0,0,0,0,180,
3,1,0,0,0,195,
3,2,0,0,0,210,
3,3,0,0,0,225,
3,4,0,0,0,240,
3,5,0,0,0,255,
2,5,,,,,
4,,,,,,
3,7,0,0,90,0,chase slow down
3,8,0,0,105,0,
3,9,0,0,120,0,
3,10,0,0,135,0,
3,11,0,0,150,0,
3,12,0,0,165,0,
3,13,0,0,180,0,
3,14,0,0,195,0,
3,15,0,0,210,0,
3,16,0,0,225,0,
3,17,0,0,240,0,
3,18,0,0,255,0,
3,19,0,0,0,90,
3,20,0,0,0,105,
3,21,0,0,0,120,
3,22,0,0,0,135,
3,23,0,0,0,150,
3,0,0,0,0,165,
3,1,0,0,0,180,
3,2,0,0,0,195,
3,3,0,0,0,210,
3,4,0,0,0,225,
3,5,0,0,0,240,
3,6,0,0,0,255,
2,7,,,,,
4,,,,,,
3,8,0,0,90,0,
3,9,0,0,105,0,
3,10,0,0,120,0,
3,11,0,0,135,0,
3,12,0,0,150,0,
3,13,0,0,165,0,
3,14,0,0,180,0,
3,15,0,0,195,0,
3,16,0,0,210,0,
3,17,0,0,225,0,
3,18,0,0,240,0,
3,19,0,0,255,0,
3,20,0,0,0,90,
3,21,0,0,0,105,
3,22,0,0,0,120,
3,23,0,0,0,135,
3,0,0,0,0,150,
3,1,0,0,0,165,
3,2,0,0,0,180,
3,3,0,0,0,195,
3,4,0,0,0,210,
3,5,0,0,0,225,
3,6,0,0,0,240,
3,7,0,0,0,255,
2,10,,,,,
4,,,,,,
3,9,0,0,90,0,
3,10,0,0,105,0,
3,11,0,0,120,0,
3,12,0,0,135,0,
3,13,0,0,150,0,
3,14,0,0,165,0,
3,15,0,0,180,0,
3,16,0,0,195,0,
3,17,0,0,210,0,
3,18,0,0,225,0,
3,19,0,0,240,0,
3,20,0,0,255,0,
3,21,0,0,0,90,
3,22,0,0,0,105,
3,23,0,0,0,120,
3,0,0,0,0,135,
3,1,0,0,0,150,
3,2,0,0,0,165,
3,3,0,0,0,180,
3,4,0,0,0,195,
3,5,0,0,0,210,
3,6,0,0,0,225,
3,7,0,0,0,240,
3,8,0,0,0,255,
2,15,,,,,
4,,,,,,
3,10,0,0,90,0,
3,11,0,0,105,0,
3,12,0,0,120,0,
3,13,0,0,135,0,
3,14,0,0,150,0,
3,15,0,0,165,0,
3,16,0,0,180,0,
3,17,0,0,195,0,
3,18,0,0,210,0,
3,19,0,0,225,0,
3,20,0,0,240,0,
3,21,0,0,255,0,
3,22,0,0,0,90,
3,23,0,0,0,105,
3,0,0,0,0,120,
3,1,0,0,0,135,
3,2,0,0,0,150,
3,3,0,0,0,165,
3,4,0,0,0,180,
3,5,0,0,0,195,
3,6,0,0,0,210,
3,7,0,0,0,225,
3,8,0,0,0,240,
3,9,0,0,0,255,
2,16,,,,,
4,,,,,,
3,11,0,0,90,0,
3,12,0,0,105,0,
3,13,0,0,120,0,
3,14,0,0,135,0,
3,15,0,0,150,0,
3,16,0,0,165,0,
3,17,0,0,180,0,
3,18,0,0,195,0,
3,19,0,0,210,0,
3,20,0,0,225,0,
3,21,0,0,240,0,
3,22,0,0,255,0,
3,23,0,0,0,90,
3,0,0,0,0,105,
3,1,0,0,0,120,
3,2,0,0,0,135,
3,3,0,0,0,150,
3,4,0,0,0,165,
3,5,0,0,0,180,
3,6,0,0,0,195,
3,7,0,0,0,210,
3,8,0,0,0,225,
3,9,0,0,0,240,
3,10,0,0,0,255,
2,17,,,,,
4,,,,,,
3,12,0,0,90,0,
3,13,0,0,105,0,
3,14,0,0,120,0,
3,15,0,0,135,0,
3,16,0,0,150,0,
3,17,0,0,165,0,
3,18,0,0,180,0,
3,19,0,0,195,0,
3,20,0,0,210,0,
3,21,0,0,225,0,
3,22,0,0,240,0,
3,23,0,0,255,0,
3,0,0,0,0,90,
3,1,0,0,0,105,
3,2,0,0,0,120,
3,3,0,0,0,135,
3,4,0,0,0,150,
3,5,0,0,0,165,
3,6,0,0,0,180,
3,7,0,0,0,195,
3,8,0,0,0,210,
3,9,0,0,0,225,
3,10,0,0,0,240,
3,11,0,0,0,255,
2,18,,,,,
4,,,,,,
3,13,0,0,90,0,
3,14,0,0,105,0,
3,15,0,0,120,0,
3,16,0,0,135,0,
3,17,0,0,150,0,
3,18,0,0,165,0,
3,19,0,0,180,0,
3,20,0,0,195,0,
3,21,0,0,210,0,
3,22,0,0,225,0,
3,23,0,0,240,0,
3,0,0,0,255,0,
3,1,0,0,0,90,
3,2,0,0,0,105,
3,3,0,0,0,120,
3,4,0,0,0,135,
3,5,0,0,0,150,
3,6,0,0,0,165,
3,7,0,0,0,180,
3,8,0,0,0,195,
3,9,0,0,0,210,
3,10,0,0,0,225,
3,11,0,0,0,240,
3,12,0,0,0,255,
2,19,,,,,
4,,,,,,
3,14,0,0,90,0,
3,15,0,0,105,0,
3,16,0,0,120,0,
3,17,0,0,135,0,
3,18,0,0,150,0,
3,19,0,0,165,0,
3,20,0,0,180,0,
3,21,0,0,195,0,
3,22,0,0,210,0,
3,23,0,0,225,0,
3,0,0,0,240,0,
3,1,0,0,255,0,
3,2,0,0,0,90,
3,3,0,0,0,105,
3,4,0,0,0,120,
3,5,0,0,0,135,
3,6,0,0,0,150,
3,7,0,0,0,165,
3,8,0,0,0,180,
3,9,0,0,0,195,
3,10,0,0,0,210,
3,11,0,0,0,225,
3,12,0,0,0,240,
3,13,0,0,0,255,
2,20,,,,,
4,,,,,,
3,15,0,0,90,0,
3,16,0,0,105,0,
3,17,0,0,120,0,
3,18,0,0,135,0,
3,19,0,0,150,0,
3,20,0,0,165,0,
3,21,0,0,180,0,
3,22,0,0,195,0,
3,23,0,0,210,0,
3,0,0,0,225,0,
3,1,0,0,240,0,
3,2,0,0,255,0,
3,3,0,0,0,90,
3,4,0,0,0,105,
3,5,0,0,0,120,
3,6,0,0,0,135,
3,7,0,0,0,150,
3,8,0,0,0,165,
3,9,0,0,0,180,
3,10,0,0,0,195,
3,11,0,0,0,210,
3,12,0,0,0,225,
3,13,0,0,0,240,
3,14,0,0,0,255,
2,21,,,,,
4,,,,,,
3,16,0,0,90,0,
3,17,0,0,105,0,
3,18,0,0,120,0,
3,19,0,0,135,0,
3,20,0,0,150,0,
3,21,0,0,165,0,
3,22,0,0,180,0,
3,23,0,0,195,0,
3,0,0,0,210,0,
3,1,0,0,225,0,
3,2,0,0,240,0,
3,3,0,0,255,0,
3,4,0,0,0,90,
3,5,0,0,0,105,
3,6,0,0,0,120,
3,7,0,0,0,135,
3,8,0,0,0,150,
3,9,0,0,0,165,
3,10,0,0,0,180,
3,11,0,0,0,195,
3,12,0,0,0,210,
3,13,0,0,0,225,
3,14,0,0,0,240,
3,15,0,0,0,255,
2,22,,,,,
4,,,,,,
3,17,0,0,90,0,
3,18,0,0,105,0,
3,19,0,0,120,0,
3,20,0,0,135,0,
3,21,0,0,150,0,
3,22,0,0,165,0,
3,23,0,0,180,0,
3,0,0,0,195,0,
3,1,0,0,210,0,
3,2,0,0,225,0,
3,3,0,0,240,0,
3,4,0,0,255,0,
3,5,0,0,0,90,
3,6,0,0,0,105,
3,7,0,0,0,120,
3,8,0,0,0,135,
3,9,0,0,0,150,
3,10,0,0,0,165,
3,11,0,0,0,180,
3,12,0,0,0,195,
3,13,0,0,0,210,
3,14,0,0,0,225,
3,15,0,0,0,240,
3,16,0,0,0,255,
2,23,,,,,
4,,,,,,
3,18,0,0,90,0,
3,19,0,0,105,0,
3,20,0,0,120,0,
3,21,0,0,135,0,
3,22,0,0,150,0,
3,23,0,0,165,0,
3,0,0,0,180,0,
3,1,0,0,195,0,
3,2,0,0,210,0,
3,3,0,0,225,0,
3,4,0,0,240,0,
3,5,0,0,255,0,
3,6,0,0,0,90,
3,7,0,0,0,105,
3,8,0,0,0,120,
3,9,0,0,0,135,
3,10,0,0,0,150,
3,11,0,0,0,165,
3,12,0,0,0,180,
3,13,0,0,0,195,
3,14,0,0,0,210,
3,15,0,0,0,225,
3,16,0,0,0,240,
3,17,0,0,0,255,
2,24,,,,,
4,,,,,,
3,19,0,0,90,0,
3,20,0,0,105,0,
3,21,0,0,120,0,
3,22,0,0,135,0,
3,23,0,0,150,0,
3,0,0,0,165,0,
3,1,0,0,180,0,
3,2,0,0,195,0,
3,3,0,0,210,0,
3,4,0,0,225,0,
3,5,0,0,240,0,
3,6,0,0,255,0,
3,7,0,0,0,90,
3,8,0,0,0,105,
3,9,0,0,0,120,
3,10,0,0,0,135,
3,11,0,0,0,150,
3,12,0,0,0,165,
3,13,0,0,0,180,
3,14,0,0,0,195,
3,15,0,0,0,210,
3,16,0,0,0,225,
3,17,0,0,0,240,
3,18,0,0,0,255,
2,25,,,,,
4,,,,,,
3,20,0,0,90,0,
3,21,0,0,105,0,
3,22,0,0,120,0,
3,23,0,0,135,0,
3,0,0,0,150,0,
3,1,0,0,165,0,
3,2,0,0,180,0,
3,3,0,0,195,0,
3,4,0,0,210,0,
3,5,0,0,225,0,
3,6,0,0,240,0,
3,7,0,0,255,0,
3,8,0,0,0,90,
3,9,0,0,0,105,
3,10,0,0,0,120,
3,11,0,0,0,135,
3,12,0,0,0,150,
3,13,0,0,0,165,
3,14,0,0,0,180,
3,15,0,0,0,195,
3,16,0,0,0,210,
3,17,0,0,0,225,
3,18,0,0,0,240,
3,19,0,0,0,255,
2,26,,,,,
4,,,,,,
3,21,0,0,90,0,
3,22,0,0,105,0,
3,23,0,0,120,0,
3,0,0,0,135,0,
3,1,0,0,150,0,
3,2,0,0,165,0,
3,3,0,0,180,0,
3,4,0,0,195,0,
3,5,0,0,210,0,
3,6,0,0,225,0,
3,7,0,0,240,0,
3,8,0,0,255,0,
3,9,0,0,0,90,
3,10,0,0,0,105,
3,11,0,0,0,120,
3,12,0,0,0,135,
3,13,0,0,0,150,
3,14,0,0,0,165,
3,15,0,0,0,180,
3,16,0,0,0,195,
3,17,0,0,0,210,
3,18,0,0,0,225,
3,19,0,0,0,240,
3,20,0,0,0,255,
2,28,,,,,
4,,,,,,
3,22,0,0,90,0,
3,23,0,0,105,0,
3,0,0,0,120,0,
3,1,0,0,135,0,
3,2,0,0,150,0,
3,3,0,0,165,0,
3,4,0,0,180,0,
3,5,0,0,195,0,
3,6,0,0,210,0,
3,7,0,0,225,0,
3,8,0,0,240,0,
3,9,0,0,255,0,
3,10,0,0,0,90,
3,11,0,0,0,105,
3,12,0,0,0,120,
3,13,0,0,0,135,
3,14,0,0,0,150,
3,15,0,0,0,165,
3,16,0,0,0,180,
3,17,0,0,0,195,
3,18,0,0,0,210,
3,19,0,0,0,225,
3,20,0,0,0,240,
3,21,0,0,0,255,
2,32,,,,,
4,,,,,,
3,23,0,0,90,0,
3,0,0,0,105,0,
3,1,0,0,120,0,
3,2,0,0,135,0,
3,3,0,0,150,0,
3,4,0,0,165,0,
3,5,0,0,180,0,
3,6,0,0,195,0,
3,7,0,0,210,0,
3,8,0,0,225,0,
3,9,0,0,240,0,
3,10,0,0,255,0,
3,11,0,0,0,90,
3,12,0,0,0,105,
3,13,0,0,0,120,
3,14,0,0,0,135,
3,15,0,0,0,150,
3,16,0,0,0,165,
3,17,0,0,0,180,
3,18,0,0,0,195,
3,19,0,0,0,210,
3,20,0,0,0,225,
3,21,0,0,0,240,
3,22,0,0,0,255,
2,36,,,,,
4,,,,,,
3,0,0,0,90,0,chase complete
3,1,0,0,105,0,
3,2,0,0,120,0,
3,3,0,0,135,0,
3,4,0,0,150,0,
3,5,0,0,165,0,
3,6,0,0,180,0,
3,7,0,0,195,0,
3,8,0,0,210,0,
3,9,0,0,225,0,
3,10,0,0,240,0,
3,11,0,0,255,0,
3,12,0,0,0,90,
3,13,0,0,0,105,
3,14,0,0,0,120,
3,15,0,0,0,135,
3,16,0,0,0,150,
3,17,0,0,0,165,
3,18,0,0,0,180,
3,19,0,0,0,195,
3,20,0,0,0,210,
3,21,0,0,0,225,
3,22,0,0,0,240,
3,23,0,0,0,255,
2,40,,,,,
4,,,,,,
2,300,,,,,
3,0,0,0,75,0,fade out
3,1,0,0,90,0,
3,2,0,0,105,0,
3,3,0,0,120,0,
3,4,0,0,135,0,
3,5,0,0,150,0,
3,6,0,0,165,0,
3,7,0,0,180,0,
3,8,0,0,195,0,
3,9,0,0,210,0,
3,10,0,0,225,0,
3,11,0,0,240,0,
3,12,0,0,0,75,
3,13,0,0,0,90,
3,14,0,0,0,105,
3,15,0,0,0,120,
3,16,0,0,0,135,
3,17,0,0,0,150,
3,18,0,0,0,165,
3,19,0,0,0,180,
3,20,0,0,0,195,
3,21,0,0,0,210,
3,22,0,0,0,225,
3,23,0,0,0,240,
2,10,,,,,
4,,,,,,
3,0,0,0,60,0,
3,1,0,0,75,0,
3,2,0,0,90,0,
3,3,0,0,105,0,
3,4,0,0,120,0,
3,5,0,0,135,0,
3,6,0,0,150,0,
3,7,0,0,165,0,
3,8,0,0,180,0,
3,9,0,0,195,0,
3,10,0,0,210,0,
3,11,0,0,225,0,
3,12,0,0,0,60,
3,13,0,0,0,75,
3,14,0,0,0,90,
3,15,0,0,0,105,
3,16,0,0,0,120,
3,17,0,0,0,135,
3,18,0,0,0,150,
3,19,0,0,0,165,
3,20,0,0,0,180,
3,21,0,0,0,195,
3,22,0,0,0,210,
3,23,0,0,0,225,
2,10,,,,,
4,,,,,,
3,0,0,0,45,0,
3,1,0,0,60,0,
3,2,0,0,75,0,
3,3,0,0,90,0,
3,4,0,0,105,0,
3,5,0,0,120,0,
3,6,0,0,135,0,
3,7,0,0,150,0,
3,8,0,0,165,0,
3,9,0,0,180,0,
3,10,0,0,195,0,
3,11,0,0,210,0,
3,12,0,0,0,45,
3,13,0,0,0,60,
3,14,0,0,0,75,
3,15,0,0,0,90,
3,16,0,0,0,105,
3,17,0,0,0,120,
3,18,0,0,0,135,
3,19,0,0,0,150,
3,20,0,0,0,165,
3,21,0,0,0,180,
3,22,0,0,0,195,
3,23,0,0,0,210,
2,10,,,,,
4,,,,,,
3,0,0,0,30,0,
3,1,0,0,45,0,
3,2,0,0,60,0,
3,3,0,0,75,0,
3,4,0,0,90,0,
3,5,0,0,105,0,
3,6,0,0,120,0,
3,7,0,0,135,0,
3,8,0,0,150,0,
3,9,0,0,165,0,
3,10,0,0,180,0,
3,11,0,0,195,0,
3,12,0,0,0,30,
3,13,0,0,0,45,
3,14,0,0,0,60,
3,15,0,0,0,75,
3,16,0,0,0,90,
3,17,0,0,0,105,
3,18,0,0,0,120,
3,19,0,0,0,135,
3,20,0,0,0,150,
3,21,0,0,0,165,
3,22,0,0,0,180,
3,23,0,0,0,195,
2,10,,,,,
4,,,,,,
3,0,0,0,15,0,
3,1,0,0,30,0,
3,2,0,0,45,0,
3,3,0,0,60,0,
3,4,0,0,75,0,
3,5,0,0,90,0,
3,6,0,0,105,0,
3,7,0,0,120,0,
3,8,0,0,135,0,
3,9,0,0,150,0,
3,10,0,0,165,0,
3,11,0,0,180,0,
3,12,0,0,0,15,
3,13,0,0,0,30,
3,14,0,0,0,45,
3,15,0,0,0,60,
3,16,0,0,0,75,
3,17,0,0,0,90,
3,18,0,0,0,105,
3,19,0,0,0,120,
3,20,0,0,0,135,
3,21,0,0,0,150,
3,22,0,0,0,165,
3,23,0,0,0,180,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,15,0,
3,2,0,0,30,0,
3,3,0,0,45,0,
3,4,0,0,60,0,
3,5,0,0,75,0,
3,6,0,0,90,0,
3,7,0,0,105,0,
3,8,0,0,120,0,
3,9,0,0,135,0,
3,10,0,0,150,0,
3,11,0,0,165,0,
3,12,0,0,0,0,
3,13,0,0,0,15,
3,14,0,0,0,30,
3,15,0,0,0,45,
3,16,0,0,0,60,
3,17,0,0,0,75,
3,18,0,0,0,90,
3,19,0,0,0,105,
3,20,0,0,0,120,
3,21,0,0,0,135,
3,22,0,0,0,150,
3,23,0,0,0,165,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,15,0,
3,3,0,0,30,0,
3,4,0,0,45,0,
3,5,0,0,60,0,
3,6,0,0,75,0,
3,7,0,0,90,0,
3,8,0,0,105,0,
3,9,0,0,120,0,
3,10,0,0,135,0,
3,11,0,0,150,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,15,
3,15,0,0,0,30,
3,16,0,0,0,45,
3,17,0,0,0,60,
3,18,0,0,0,75,
3,19,0,0,0,90,
3,20,0,0,0,105,
3,21,0,0,0,120,
3,22,0,0,0,135,
3,23,0,0,0,150,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,15,0,
3,4,0,0,30,0,
3,5,0,0,45,0,
3,6,0,0,60,0,
3,7,0,0,75,0,
3,8,0,0,90,0,
3,9,0,0,105,0,
3,10,0,0,120,0,
3,11,0,0,135,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,15,
3,16,0,0,0,30,
3,17,0,0,0,45,
3,18,0,0,0,60,
3,19,0,0,0,75,
3,20,0,0,0,90,
3,21,0,0,0,105,
3,22,0,0,0,120,
3,23,0,0,0,135,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,15,0,
3,5,0,0,30,0,
3,6,0,0,45,0,
3,7,0,0,60,0,
3,8,0,0,75,0,
3,9,0,0,90,0,
3,10,0,0,105,0,
3,11,0,0,120,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,15,
3,17,0,0,0,30,
3,18,0,0,0,45,
3,19,0,0,0,60,
3,20,0,0,0,75,
3,21,0,0,0,90,
3,22,0,0,0,105,
3,23,0,0,0,120,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,15,0,
3,6,0,0,30,0,
3,7,0,0,45,0,
3,8,0,0,60,0,
3,9,0,0,75,0,
3,10,0,0,90,0,
3,11,0,0,105,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,15,
3,18,0,0,0,30,
3,19,0,0,0,45,
3,20,0,0,0,60,
3,21,0,0,0,75,
3,22,0,0,0,90,
3,23,0,0,0,105,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,0,0,
3,6,0,0,15,0,
3,7,0,0,30,0,
3,8,0,0,45,0,
3,9,0,0,60,0,
3,10,0,0,75,0,
3,11,0,0,90,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
3,15,0,0,0,0,
3,16,0,0,0,0,
3,17,0,0,0,0,
3,18,0,0,0,15,
3,19,0,0,0,30,
3,20,0,0,0,45,
3,21,0,0,0,60,
3,22,0,0,0,75,
3,23,0,0,0,90,
2,10,,,,,
4,,,,,,
3,0,0,0,0,0,
3,1,0,0,0,0,
3,2,0,0,0,0,
3,3,0,0,0,0,
3,4,0,0,0,0,
3,5,0,0,0,0,
3,6,0,0,0,0,
3,7,0,0,15,0,
3,8,0,0,30,0,
3,9,0,0,45,0,
3,10,0,0,60,0,
3,11,0,0,75,0,
3,12,0,0,0,0,
3,13,0,0,0,0,
3,14,0,0,0,0,
